TEXTURE AT STRAIN =    0.0000
   1.000   1.000   1.000  <-- length of phase ellipsoid axes
  147.77   99.62   90.63  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
  170.69    3.47 -169.14   0.0003500
TEXTURE AT STRAIN =    0.9000
   2.183   2.867   0.148  <-- length of phase ellipsoid axes
 -173.60    2.00  -65.09  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
  173.74    3.15 -172.14   0.0003500
